frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
156,5,2,10,15,7,0.5976334682532719,8.834946900606155
157,7,3,8,15,10,0.5011172860860824,8.85319709777832
158,6,3,9,15,9,0.5205904841423035,8.3409259095788
159,5,3,10,15,8,0.5345731414854527,9.592861868441105
160,5,2,10,15,7,0.5733638490949359,6.633490789681673
161,5,1,9,14,6,0.6509140133857727,7.856111042201519
162,8,1,6,14,9,0.5409749017821418,9.960574097931385
163,6,1,8,14,7,0.6200862441744123,8.26557818800211
164,6,3,7,13,9,0.5458489689562056,7.141645066440105
165,5,3,8,13,8,0.5717766098678112,9.469880256801844
166,7,1,6,13,8,0.5758317522704601,8.693510200828314
167,6,1,7,13,7,0.6132096009595054,7.920742966234684
168,7,2,6,13,9,0.5584492484728495,10.241984855383635
169,6,2,7,13,8,0.5880837589502335,7.608399726450443
170,6,3,7,13,9,0.5646983848677741,8.20010295137763
171,6,2,7,13,8,0.6084427908062935,8.935451041907072
172,6,2,7,13,8,0.5824936926364899,8.327099028974771
173,5,1,7,12,6,0.6458761294682821,8.614420890808105
174,7,3,5,12,10,0.49011065661907194,8.535697124898434
175,6,3,6,12,9,0.5160487691561381,7.412887644022703
176,7,3,6,13,10,0.49706628918647766,8.618158288300037
177,7,2,6,13,9,0.5048541592227088,9.881684090942144
178,5,2,7,12,7,0.594409418957574,7.551330141723156
179,5,3,7,12,8,0.5772432126104832,6.368397269397974
180,6,3,6,12,9,0.5176464153660668,10.196980088949203
181,6,3,6,12,9,0.5549046264754401,8.99688620120287
182,6,2,5,11,8,0.577988289296627,8.846602868288755
183,7,2,6,13,9,0.5422171387407515,9.932960849255323
184,8,1,6,14,9,0.5592882169617547,6.587773095816374
185,7,2,7,14,9,0.5492438574632009,8.054045028984547
186,7,1,7,14,8,0.6321814656257629,10.179349686950445
187,7,3,8,15,10,0.5402312099933624,8.184549398720264
188,7,3,9,16,10,0.5541649401187897,8.498646784573793
189,7,4,9,16,11,0.5278235213323073,10.784576646983624
190,7,3,9,16,10,0.5622897893190384,7.071500178426504
191,5,3,11,16,8,0.5634264126420021,7.917043287307024
192,5,2,11,16,7,0.6240242336477552,9.207072202116251
193,8,2,8,16,10,0.5389527767896652,8.089700248092413
194,9,3,7,16,12,0.48813943068186444,8.553579915314913
195,8,3,8,16,11,0.5026294372298501,10.301024653017521
196,8,5,7,15,13,0.4852848075903379,7.146928925067186
197,7,4,8,15,11,0.5321891578761014,8.175123948603868
198,7,1,7,14,8,0.613069262355566,9.001471102237701
199,7,1,7,14,8,0.6157476007938385,8.236097637563944
200,6,2,8,14,8,0.6105435416102409,8.322073146700859
201,5,3,9,14,8,0.62029580026865,8.134478237479925
202,7,2,7,14,9,0.5813574062453376,7.9441978596150875
203,8,3,6,14,11,0.543342956087806,8.192380890250206
204,7,3,8,15,10,0.5763320744037628,8.779960684478283
205,7,3,8,15,10,0.5679212629795074,8.22932505980134
206,7,4,8,15,11,0.545098911632191,7.1941157802939415
207,7,3,8,15,10,0.5644048392772675,9.01789404451847
208,6,4,8,14,10,0.5471488475799561,8.789511397480965
209,6,4,7,13,10,0.5245504289865494,8.432993199676275
210,6,3,7,13,9,0.560273740026686,7.746571209281683
211,6,3,7,13,9,0.5441933506064944,7.370848208665848
212,6,5,7,13,11,0.5020477798852053,7.651360705494881
213,5,3,8,13,8,0.5772966146469116,9.202450048178434
214,6,3,8,14,9,0.5213165581226349,7.317074108868837
215,5,4,9,14,9,0.5541005498833127,7.688838988542557
216,6,5,8,14,11,0.521963282064958,9.139192756265402
217,6,5,8,14,11,0.5158047594807365,7.925079204142094
218,6,4,8,14,10,0.5516852766275406,8.10714578256011
219,6,3,8,14,9,0.5756072468227811,9.612973779439926
220,6,3,8,14,9,0.5392476088470883,7.471912074834108
221,7,4,9,16,11,0.5010987249287692,7.217181380838156
222,6,3,11,17,9,0.5384377406703101,9.400756563991308
