frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
166,9,1,4,13,10,0.6552566885948181,9.694249834865332
167,8,2,5,13,10,0.6355768352746963,8.675580844283104
168,9,3,4,13,12,0.5808433343966802,7.174512837082148
169,10,2,3,13,12,0.5707991520563761,8.141753729432821
170,10,2,3,13,12,0.579471580684185,8.759885095059872
171,8,4,5,13,12,0.5640369156996409,8.796362206339836
172,9,2,4,13,11,0.5965488878163424,7.70833995193243
173,10,1,2,12,11,0.5778269036249681,9.520556312054396
174,10,3,2,12,13,0.5471816521424514,9.521182160824537
175,10,4,2,12,14,0.5184723309108189,8.88533378019929
176,10,2,3,13,12,0.5443170666694641,11.482533998787403
177,9,2,4,13,11,0.5560468191450293,8.921651169657707
178,9,3,3,12,12,0.5395814826091131,7.614241912961006
179,9,2,3,12,11,0.5695728659629822,8.474885951727629
180,9,3,3,12,12,0.5851092760761579,9.039618074893951
181,9,3,3,12,12,0.5688255901137987,9.65245719999075
182,9,1,2,11,10,0.6392467260360718,7.666151039302349
183,10,0,3,13,10,0.6408473402261734,7.634483277797699
184,10,1,4,14,11,0.5995756008408286,8.642592933028936
185,10,1,4,14,11,0.6020260317759081,9.460126981139183
186,10,2,4,14,12,0.5869535530606905,8.078942075371742
187,10,2,5,15,12,0.5921342348059019,7.528617978096008
188,10,1,6,16,11,0.5854434804482893,7.4729761108756065
189,9,1,7,16,10,0.6205624938011169,7.334244437515736
190,10,1,6,16,11,0.5792570141228762,8.103366009891033
191,11,4,5,16,15,0.5175072451432546,8.7639638222754
192,12,1,4,16,13,0.5218052245103396,9.97507805004716
193,11,2,5,16,13,0.5378999939331641,10.341194923967123
194,11,1,5,16,12,0.571899838745594,9.60158882662654
195,11,2,5,16,13,0.5627746261083163,7.420291192829609
196,11,3,4,15,14,0.5675353493009295,11.211819015443325
197,11,2,4,15,13,0.5716593242608584,9.83479991555214
198,10,2,4,14,12,0.6070550754666328,7.910755928605795
199,10,5,4,14,15,0.5568001627922058,7.814547978341579
200,10,5,4,14,15,0.5654491742451986,8.050936739891768
201,10,4,4,14,14,0.5722030869552067,9.52189601957798
202,10,2,4,14,12,0.6228892554839452,8.575825951993465
203,10,1,4,14,11,0.6043305993080139,9.092423599213362
204,9,2,6,15,11,0.5765803077004172,9.84869571402669
205,10,2,5,15,12,0.5583379616340002,8.158413227647543
206,10,1,5,15,11,0.6055384359576486,8.319133892655373
207,9,0,6,15,9,0.6702100336551666,11.591552756726742
208,8,1,6,14,9,0.6797467470169067,8.388884831219912
209,7,2,6,13,9,0.664730042219162,6.6340710036456585
210,6,2,7,13,8,0.6857311949133873,10.132516268640757
211,6,2,7,13,8,0.6989475414156914,8.494206238538027
212,7,3,6,13,10,0.6334790617227555,8.086460176855326
213,6,3,7,13,9,0.6773247586356269,8.574227802455425
